regulon,Pvalues,AdjPvalues,log2FC
ARNT_(+),0.00020702965527609588,0.0004649682421774612,-0.016556906887414968
ATF1_(+),0.0024467666656020548,0.0045298247728038045,-0.001842977589988759
ATF3_(+),5.078390213098333e-15,6.957394591944718e-14,0.05101326498241144
BACH1_(+),1.2687553790514317e-10,8.690974346502308e-10,0.05567557130514103
BCL11A_(+),2.2406140232208412e-08,9.902068425201782e-08,-0.008081861376419527
BCL3_(+),0.0008884157716081738,0.0017898964810341147,0.03230823934193716
BCL6_(+),9.61444049351689e-07,3.136138922885271e-06,0.02788005624705616
BHLHE40_(+),4.938678275289866e-15,6.957394591944718e-14,-0.005902348456124775
CBFB_(+),0.09912030201483445,0.1476030584351339,-0.0034572808355734616
CEBPB_(+),0.4224644153268259,0.5261602263615922,0.0019060263447161442
CEBPG_(+),0.0014079861016604819,0.002716818252499803,-0.0029424497243956786
CREM_(+),6.1024905321524795e-05,0.00014929307194730174,0.005061106641543757
CUX1_(+),0.6272637579300571,0.7408201279001536,0.00033007526716467985
DEAF1_(+),8.191328235123731e-05,0.00019687929266876337,-0.011929610213501165
E2F1_(+),1.0948608066065633e-05,2.9999186101019833e-05,0.002429255447906895
E2F7_(+),0.00012055185383004335,0.0002799254910968803,0.002532763907389527
E2F8_(+),0.22939122330228,0.3111544316080432,-9.470902299003177e-06
EBF1_(+),1.0271249883947878e-06,3.272467986281068e-06,-0.005164628708300266
ELF1_(+),2.9688752805010286e-05,7.532146544974832e-05,0.01652608500387358
EP300_(+),0.2745161469690437,0.3637751268189291,0.004304586621323218
ESRRA_(+),2.8735704306475397e-06,8.376152106355595e-06,-0.006441008632257076
ETS1_(+),0.11742635594309066,0.16934116593898335,6.714501803061942e-05
ETV6_(+),4.897655847955201e-20,1.6774471279246565e-18,0.04638788030639496
FEZF1_(+),1.0,1.0,0.0
FOSL1_(+),0.10427849731353285,0.15361456055864517,0.0020319192342996228
FOSL2_(+),0.00033878176168400864,0.0007367158944557013,0.02096029113595612
FOXA1_(+),7.062131785803726e-06,1.9745143972553275e-05,0.00042776890728480764
FOXA2_(+),0.2272849766972499,0.3111544316080432,0.00018045523927820304
GABPA_(+),0.0009199887663714374,0.0018266443622157523,-0.0010512531640505334
GATA1_(+),0.0011040957478548508,0.002160873106515922,-0.0036319785943488355
GATA2_(+),2.6054383078019735e-22,1.26817147737965e-20,-0.010250635017249151
GLI2_(+),1.0,1.0,0.0
GLI4_(+),2.3663919294905675e-05,6.234532583465535e-05,-0.010111904447693408
GLIS1_(+),0.27615046123480746,0.3637751268189291,0.0014443914490085779
GLIS2_(+),0.3696874678572768,0.46895539904117517,-0.0017468736970250457
GMEB2_(+),2.4737483413316494e-06,7.367467886139913e-06,-0.028853395848832633
HES1_(+),0.3383085683557423,0.4372478666484594,-0.0005688146587959867
HIC1_(+),1.2695970120107968e-13,1.2423913617534225e-12,-0.014130668561571063
HNF4A_(+),1.0,1.0,0.0
HSF1_(+),0.4547168872731505,0.5612271491569515,-0.0009188067073067705
IKZF2_(+),0.08437210781400842,0.1270217447309797,-0.0027436733176277
IRF1_(+),3.316021383235477e-14,3.4945763807943104e-13,0.023718505776694068
IRF2_(+),2.619332163272633e-18,7.176970127367015e-17,0.046269172144126236
IRF4_(+),0.0031989618687053223,0.005691659428735444,0.010462820446234169
JUND_(+),0.0029524648669862455,0.005322206404962048,-0.004393307177795836
JUN_(+),0.9181957254205546,1.0,0.0035927074682329065
KLF10_(+),0.9968880510283795,1.0,-0.0016924219827288798
KLF11_(+),0.19443204169153194,0.26906252234080685,-0.003212581524854409
KLF13_(+),4.92246997190817e-10,2.9320799397887797e-09,-0.01737964808586566
MAFG_(+),0.0006370579423727415,0.0013026408672397849,0.0034156532113414828
MAFK_(+),2.4694154575603763e-08,1.0572184927680361e-07,-0.009875398085065153
MAZ_(+),2.9621985983592804e-12,2.7054747198348094e-11,-0.007200892495151146
MEF2D_(+),0.01502363291242254,0.024214561282375154,-0.017080982652525795
MITF_(+),0.12888856490705153,0.18393472283610476,-0.0028970295793834355
MNT_(+),0.8873095890592633,1.0,0.004456955918343941
MYBL2_(+),0.10994188047427501,0.16023444281889015,0.0015468442184430357
MYC_(+),5.953594329354772e-10,3.3985100963400154e-09,-0.012927667418914612
NANOG_(+),1.0,1.0,0.0
NFE2L2_(+),5.449473949065637e-09,2.5744066586965252e-08,0.017356869742302262
NFE2_(+),0.6912376907232508,0.8025386748227573,0.003989275892680124
NFIL3_(+),3.679297863686078e-10,2.2911991242045122e-09,0.03163268797664348
NR2F1_(+),2.0336860925477704e-05,5.4630391113538146e-05,-0.0031792630971390922
NR2F6_(+),6.912132850189597e-11,5.260901113755415e-10,-0.0007564491005384892
NR4A1_(+),0.5626636884734983,0.6761835554462217,7.226078018149207e-05
NRF1_(+),2.6175580963873537e-25,3.586054592050675e-23,-0.016080112148189406
PAX5_(+),4.4139412519178996e-07,1.5117748787818807e-06,-0.007415557809743163
PKNOX1_(+),0.00039308716778763467,0.0008414522185454055,-0.003872880778176306
REST_(+),0.0072446778064102595,0.012253343944175377,-0.006163874642017257
RFX5_(+),0.00011310791517741464,0.0002671686961949277,-0.007839475442427612
RUNX1_(+),0.0004610330112142726,0.0009717157313285438,-0.007581889057227855
RUNX3_(+),1.1157638018516357e-10,8.045244255456532e-10,-0.039729063452616155
RXRA_(+),0.24007746493312887,0.3224569872141045,-0.0016545519223107583
SALL1_(+),1.0,1.0,0.0
SALL2_(+),2.204624006613241e-10,1.4382547090762572e-09,-0.010673550344097171
SOX6_(+),0.027230734456154704,0.04288058184474936,-0.0013526661682716123
SREBF1_(+),2.4705176597088808e-05,6.38605508264371e-05,-0.01110567489519216
SREBF2_(+),3.1668792406417143e-07,1.1726012323457159e-06,-0.007477081447267709
SRF_(+),0.04970683549013439,0.0773845052516865,-0.005921773387373433
STAT1_(+),2.777017833678066e-22,1.26817147737965e-20,0.24324261465764752
STAT3_(+),0.006623022916633921,0.011485495437706926,0.017014606221567436
TBX21_(+),8.699157749934997e-15,1.0834405561282678e-13,-0.02133416338192938
TCF7L2_(+),0.9161233693783456,1.0,-0.00017715513877237846
TCF7_(+),4.6143940399723894e-08,1.8593293631653453e-07,-0.05868738618547342
TFDP1_(+),0.008090410132480828,0.01351690473353504,-0.0011611825669281708
TGIF2_(+),2.0751325150419396e-14,2.3691096213395475e-13,0.003469323026364422
THAP1_(+),1.0,1.0,0.0
THRB_(+),2.7984915474035822e-11,2.2552549529075927e-10,-0.03096716686938281
UBTF_(+),1.849012446574457e-16,4.2219117530116766e-15,-0.03308216506674597
VEZF1_(+),0.012951055404701114,0.02112255464814348,0.00981859515306419
WT1_(+),1.0,1.0,0.0
YBX1_(+),0.0005398223333706416,0.0011205402980572407,-0.021529830888239426
ZBTB20_(+),0.0067128686584972085,0.011495787577676471,-0.011875606282244025
ZBTB33_(+),0.15250375018374182,0.21539189458940855,0.0005448013766235407
ZBTB44_(+),0.0017992931611388705,0.0033767556585756883,-0.008344015953095883
ZBTB7B_(+),0.4818400595281569,0.5893936442442633,0.0022475949674248437
ZEB1_(+),0.6707435038558035,0.7854005130619238,0.004945683160099291
ZFP64_(+),0.6081563887728614,0.7244993501033219,2.281600436222869e-05
ZHX2_(+),3.611573522682741e-05,8.99610132013701e-05,-0.01893118723808308
ZIC2_(+),1.0876828904967728e-09,5.5189835554836245e-09,-0.01494179241432405
ZIK1_(+),5.19895225616029e-09,2.5437730681927134e-08,-0.0028583346810005772
ZKSCAN1_(+),0.02548647651613485,0.04060054979895901,0.0007887997805221737
ZNF114_(+),0.3659366056009262,0.4685356539002513,0.0002795097874170506
ZNF132_(+),1.0,1.0,0.0
ZNF148_(+),0.0016140483558732942,0.0030711753438144624,0.014291559588702185
ZNF155_(+),1.0,1.0,0.0
ZNF211_(+),1.0,1.0,0.0
ZNF217_(+),0.06746413153030104,0.10384928111967688,-0.010763585216538786
ZNF274_(+),0.00543201376476394,0.009540844689393075,-0.004281181290787227
ZNF282_(+),3.862409830147981e-07,1.356795248026342e-06,-0.006296618785629256
ZNF2_(+),2.0548202757647778e-06,6.397963131358512e-06,-0.023185821713834338
ZNF300_(+),1.0,1.0,0.0
ZNF302_(+),1.0,1.0,0.0
ZNF331_(+),0.5546423784310854,0.6724425296022895,-3.3690617434501846e-05
ZNF341_(+),0.3835048100884636,0.4820198071754084,-4.470332193089254e-05
ZNF354C_(+),3.2444421308235336e-15,5.556107149035302e-14,-0.03300719529478123
ZNF398_(+),3.000961734497071e-15,5.556107149035302e-14,-0.013941139866602694
ZNF404_(+),0.012827336810973769,0.02112255464814348,-9.320805512460808e-05
ZNF433_(+),1.0,1.0,0.0
ZNF48_(+),4.415394561059418e-08,1.8330577420155765e-07,-0.04125644866683661
ZNF491_(+),4.988904419753954e-06,1.4239164698047743e-05,-0.003233460230261066
ZNF501_(+),2.3664690393027005e-06,7.204583519654888e-06,-0.002636122912923957
ZNF510_(+),0.00013258785202368195,0.0003027422621207404,-0.0010791181500459377
ZNF521_(+),0.07093447529744197,0.10797803461943944,-0.000372794503645444
ZNF524_(+),6.687503459227717e-07,2.234604814424871e-06,-0.004158172200893524
ZNF529_(+),1.0996748069732679e-08,5.021848285177923e-08,-0.0069494628592416926
ZNF530_(+),0.16226649439762098,0.2268419360456538,0.00019377740987697582
ZNF548_(+),1.3496763596260127e-07,5.136268368576771e-07,-0.004050470221132863
ZNF549_(+),1.0142656181575141e-09,5.5189835554836245e-09,-0.006900512374931612
ZNF558_(+),0.002945824588955118,0.005322206404962048,-0.0037661923495903226
ZNF577_(+),0.32576094338041817,0.42504046898206943,1.066434787353631e-05
ZNF585B_(+),3.2737320204261806e-07,1.1802665442062808e-06,-0.0018742024296417232
ZNF614_(+),0.0003281025407210481,0.0007250007754642515,-0.007330829502603147
ZNF662_(+),1.0867973762288916e-09,5.5189835554836245e-09,-0.00592310580822944
ZNF677_(+),1.0,1.0,0.0
ZNF692_(+),1.6231948846158984e-11,1.389860619952363e-10,-0.023275763661088994
ZNF76_(+),1.0,1.0,0.0
ZNF837_(+),5.724351193987222e-08,2.2406746102178552e-07,-0.00604689357590605
